file,sample_rate,duration,valid_sr,valid_duration,not_silent,passes_all
ml_data/processed/bike/bike_0302.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0303.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0304.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0305.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0306.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0307.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0308.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0309.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0310.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0311.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0312.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0313.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0314.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0315.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0316.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0317.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0318.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0319.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0320.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0321.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0322.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0323.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0324.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0325.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0326.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0327.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0328.wav,48000,10.0,True,True,True,True
ml_data/processed/bike/bike_0329.wav,48000,10.0,True,True,True,True
